,"Type","Date","Num","Adj","Name","Memo","Account Type","Account","Clr","Split","Debit","Credit","Balance"
,"Invoice","28-03-2024","MC05550",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",33510.12,5362052.49
,"Invoice","02-04-2024","MC05552",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",313850.88,5675903.37
,"Invoice","03-04-2024","MC05555",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",601930.92,6277834.29
,"Invoice","12-04-2024","MC05597",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",370861.81,6648696.10
,"Invoice","12-04-2024","MC05598",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",224490.63,6873186.73
,"Invoice","19-04-2024","MC05617",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",394708.80,7267895.53
,"Invoice","23-04-2024","MC05626",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",260672.27,7528567.80
,"Invoice","26-04-2024","MC05641",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",445692.02,7974259.82
,"Invoice","29-04-2024","MC05648",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",60850.94,8035110.76
,"Invoice","03-05-2024","MC05660",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",460493.60,8495604.36
,"Invoice","03-05-2024","MC05665",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",473650.56,8969254.92
,"Invoice","03-05-2024","MC05668",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",78941.76,9048196.68
,"Invoice","06-05-2024","MC05669",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",118412.64,9166609.32
,"Invoice","08-05-2024","MC05680",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",39470.88,9206080.20
,"Invoice","09-05-2024","MC05683",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",328101.69,9534181.89
,"Invoice","09-05-2024","MC05687",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",64962.49,9599144.38
,"Credit Note","09-05-2024","CN01061",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable",1644.62,"",9597499.76
,"Invoice","16-05-2024","MC05711",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",39470.88,9636970.64
,"Invoice","17-05-2024","MC05714",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",552592.32,10189562.96
,"Invoice","21-05-2024","MC05725",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",236825.28,10426388.24
,"Invoice","24-05-2024","MC05744",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",28780.85,10455169.09
,"Invoice","24-05-2024","MC05752",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",153771.97,10608941.06
,"Invoice","27-05-2024","MC05755",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",731855.90,11340796.96
,"Invoice","28-05-2024","MC05760",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",434179.68,11774976.64
,"Invoice","29-05-2024","MC05768",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",210511.36,11985488.00
,"Invoice","18-06-2024","MC05836",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",424311.96,12409799.96
,"Invoice","19-06-2024","MC05839",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",78941.76,12488741.72
,"Invoice","21-06-2024","MC05847",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",197354.40,12686096.12
,"Invoice","24-06-2024","MC05849",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",236825.28,12922921.40
,"Invoice","24-06-2024","MC05856",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",246693.00,13169614.40
,"Invoice","24-06-2024","MC05859",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",256560.72,13426175.12
,"Invoice","02-07-2024","MC05877",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",601279.20,14027454.32
,"Credit Note","03-07-2024","CN01063",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable",601279.20,"",13426175.12
,"Invoice","04-07-2024","MC05889",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",213788.16,13639963.28
,"Invoice","05-07-2024","MC05892",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",400852.80,14040816.08
,"Invoice","05-07-2024","MC05898",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",417555.00,14458371.08
,"Invoice","08-07-2024","MC05900",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",280596.96,14738968.04
,"Invoice","12-07-2024","MC05920",,"Unilever Kenya Ltd","Outer Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",3939.00,14742907.04
,"Invoice","15-07-2024","MC05925",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",115245.18,14858152.22
,"Invoice","16-07-2024","MC05934",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",793354.50,15651506.72
,"Invoice","19-07-2024","MC05955",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",200426.40,15851933.12
,"Invoice","23-07-2024","MC05963",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",80170.56,15932103.68
,"Invoice","23-07-2024","MC05966",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",293123.61,16225227.29
,"Invoice","08-08-2024","MC06012",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",129442.05,16354669.34
,"Invoice","15-08-2024","MC06041",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",339054.66,16693724.00
,"Invoice","20-08-2024","MC06052",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",578731.23,17272455.23
,"Invoice","26-08-2024","MC06085",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",160341.12,17432796.35
,"Invoice","27-08-2024","MC06091",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",200426.40,17633222.75
,"Invoice","29-08-2024","MC06095",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",160341.12,17793563.87
,"Invoice","04-09-2024","MC06114",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",160341.12,17953904.99
,"Invoice","11-09-2024","MC06139",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",320682.24,18274587.23
,"Invoice","16-09-2024","MC06155",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",360767.52,18635354.75
,"Credit Note","17-09-2024","CN01068",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable",360767.52,"",18274587.23
,"Invoice","17-09-2024","MC06156",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",327363.12,18601950.35
,"Invoice","17-09-2024","MC06159",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",200426.40,18802376.75
,"Invoice","20-09-2024","MC06174",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",240511.68,19042888.43
,"Invoice","23-09-2024","MC06185",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",364943.07,19407831.50
,"Invoice","27-09-2024","MC06213",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",200426.40,19608257.90
,"Invoice","03-10-2024","MC06227",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",134880.90,19743138.80
,"Invoice","03-10-2024","MC06232",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",156952.32,19900091.12
,"Invoice","09-10-2024","MC06244",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",416087.14,20316178.26
,"Invoice","14-10-2024","MC06254",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",235428.48,20551606.74
,"Invoice","14-10-2024","MC06259",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",549333.12,21100939.86
,"Invoice","15-10-2024","MC06261",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",166761.84,21267701.70
,"Invoice","17-10-2024","MC06275",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",353142.72,21620844.42
,"Invoice","18-10-2024","MC06278",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",272214.18,21893058.60
,"Invoice","25-10-2024","MC06296",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",73571.40,21966630.00
,"Invoice","25-10-2024","MC06304",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",594293.42,22560923.42
,"Invoice","29-10-2024","MC06315",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",102182.50,22663105.92
,"Invoice","04-11-2024","MC06328",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",667047.36,23330153.28
,"Invoice","07-11-2024","MC06341",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",29428.56,23359581.84
,"Invoice","15-11-2024","MC06365",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",779039.38,24138621.22
,"Invoice","21-11-2024","MC06395",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",431618.88,24570240.10
,"Invoice","22-11-2024","MC06403",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",235428.48,24805668.58
,"Invoice","23-11-2024","MC06407",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",58039.66,24863708.24
,"Invoice","30-11-2024","MC06429",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",392380.80,25256089.04
,"Invoice","02-12-2024","MC06431",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",353142.72,25609231.76
,"Invoice","11-12-2024","MC06461",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",470856.96,26080088.72
,"Invoice","16-12-2024","MC06471",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",376031.60,26456120.32
,"Invoice","18-12-2024","MC06487",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",152047.56,26608167.88
,"Invoice","20-12-2024","MC06494",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",245238.00,26853405.88
,"Invoice","23-12-2024","MC06503",,"Unilever Kenya Ltd:Vim","Vim Lavender Fresh 24x500g","Income","Vim Lavender Fresh 24x500g",,"Accounts Receivable","",751245.74,27604651.62
"Total Vim Lavender Fresh 24x500g",,,,,,,,,,,963691.34,28568342.96,27604651.62
"Total Vim Lavender",,,,,,,,,,,1015387.04,63292273.65,62276886.61
"Vim Lemon",,,,,,,,,,,,,""
"Vim Pwd Lemon Fresh SA 24X500G",,,,,,,,,,,,,""
,"Invoice","29-02-2024","MC05457",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",1607202.00,1607202.00
,"Invoice","25-03-2024","MC05528",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",1607202.00,3214404.00
,"Invoice","28-03-2024","MC05546",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",634944.00,3849348.00
,"Invoice","22-05-2024","MC05729",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",1615686.75,5465034.75
,"Invoice","29-05-2024","MC05770",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",502658.10,5967692.85
,"Invoice","19-06-2024","MC05840",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",797870.00,6765562.85
,"Invoice","26-06-2024","MC05868",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",502658.10,7268220.95
,"Invoice","25-07-2024","MC05968",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",1598409.60,8866630.55
,"Invoice","27-07-2024","MC05977",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",545798.40,9412428.95
,"Invoice","27-07-2024","MC05979",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",857683.20,10270112.15
,"Invoice","27-07-2024","MC05981",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",121830.00,10391942.15
,"Invoice","16-08-2024","MC06046",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",882049.20,11273991.35
,"Invoice","29-08-2024","MC06097",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",365490.00,11639481.35
,"Invoice","23-09-2024","MC06188",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",568540.00,12208021.35
,"Invoice","18-11-2024","MC06373",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",1552317.30,13760338.65
,"Invoice","19-11-2024","MC06381",,"Unilever Kenya Ltd:Vim SA","Vim Powder Lemon Fresh SA 24X500G","Income","Vim Pwd Lemon Fresh SA 24X500G",,"Accounts Receivable","",233418.90,13993757.55
"Total Vim Pwd Lemon Fresh SA 24X500G",,,,,,,,,,,0.00,13993757.55,13993757.55
"Vim Lemon Fresh 24x500g",,,,,,,,,,,,,""
,"Invoice","04-01-2024","MC05270",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",717638.40,717638.40
,"Invoice","05-01-2024","MC05273",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",567299.80,1284938.20
,"Invoice","08-01-2024","MC05277",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",717638.40,2002576.60
,"Invoice","08-01-2024","MC05279",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",159475.20,2162051.80
,"Invoice","10-01-2024","MC05287",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",211803.00,2373854.80
,"Invoice","11-01-2024","MC05296",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",438556.80,2812411.60
,"Invoice","12-01-2024","MC05297",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",774949.80,3587361.40
,"Invoice","15-01-2024","MC05316",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",598032.00,4185393.40
,"Invoice","16-01-2024","MC05325",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",318950.40,4504343.80
,"Invoice","17-01-2024","MC05329",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",338054.20,4842398.00
,"Invoice","22-01-2024","MC05338",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",209311.20,5051709.20
,"Invoice","25-01-2024","MC05349",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",770796.80,5822506.00
,"Invoice","26-01-2024","MC05359",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",199344.00,6021850.00
,"Invoice","26-01-2024","MC05362",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",830600.00,6852450.00
,"Invoice","30-01-2024","MC05372",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",1245900.00,8098350.00
,"Invoice","01-02-2024","MC05374",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",279081.60,8377431.60
,"Invoice","01-02-2024","MC05377",,"Unilever Kenya Ltd","-MULTIPLE-","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",2292.63,8379724.23
,"Invoice","02-02-2024","MC05380",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",373770.00,8753494.23
,"Invoice","05-02-2024","MC05386",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",1495080.00,10248574.23
,"Invoice","07-02-2024","MC05392",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",398688.00,10647262.23
,"Invoice","13-02-2024","MC05401",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",625441.80,11272704.03
,"Invoice","15-02-2024","MC05408",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",1661200.00,12933904.03
,"Invoice","21-02-2024","MC05414",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",598032.00,13531936.03
,"Invoice","22-02-2024","MC05426",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",1245900.00,14777836.03
,"Invoice","22-02-2024","MC05430",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",154491.60,14932327.63
,"Invoice","27-02-2024","MC05447",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",677769.60,15610097.23
,"Invoice","29-02-2024","MC05458",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",830600.00,16440697.23
,"Invoice","05-03-2024","MC05464",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",763321.40,17204018.63
,"Invoice","06-03-2024","MC05472",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",733419.80,17937438.43
,"Invoice","07-03-2024","MC05474",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",455999.40,18393437.83
,"Invoice","08-03-2024","MC05478",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",119606.40,18513044.23
,"Invoice","11-03-2024","MC05485",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",1287430.00,19800474.23
,"Invoice","19-03-2024","MC05498",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",786578.20,20587052.43
,"Invoice","19-03-2024","MC05500",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",782425.20,21369477.63
,"Invoice","20-03-2024","MC05505",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",671124.80,22040602.43
,"Invoice","22-03-2024","MC05510",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",119606.40,22160208.83
,"Invoice","22-03-2024","MC05515",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",581420.00,22741628.83
,"Invoice","23-03-2024","MC05519",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",103825.00,22845453.83
,"Invoice","28-03-2024","MC05544",,"Unilever Kenya Ltd:Vim","Vim Lemon Fresh 24x500g","Income","Vim Lemon Fresh 24x500g",,"Accounts Receivable","",618797.00,23464250.83
