,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
"CMPP 500gm Jar Blow Mould 1",,,,,,,,,,,111040.20,
"Accumulated Depreciation",,,,,,,,,,,-111040.44,
,"General Journal","02-01-2025","26394",,"CMPP 500gm Jar Blow Mould 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",2643.82,-113684.26,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,2643.82,-113684.26,
"Cost",,,,,,,,,,,222080.64,
"Total Cost",,,,,,,,,"","",222080.64,
"CMPP 500gm Jar Blow Mould 1 - Other",,,,,,,,,,,0.00,
"Total CMPP 500gm Jar Blow Mould 1 - Other",,,,,,,,,"","",0.00,
"Total CMPP 500gm Jar Blow Mould 1",,,,,,,,,0.00,2643.82,108396.38,
"CCMPP Blow Moulding Machine 2",,,,,,,,,,,2072477.48,
"Accumulated Depreciation",,,,,,,,,,,-2072477.82,
,"General Journal","02-01-2025","26397",,"CMPP Blow Moulding Machine 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",49344.71,-2121822.53,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,49344.71,-2121822.53,
"Cost",,,,,,,,,,,4144955.30,
"Total Cost",,,,,,,,,"","",4144955.30,
"CCMPP Blow Moulding Machine 2 - Other",,,,,,,,,,,0.00,
"Total CCMPP Blow Moulding Machine 2 - Other",,,,,,,,,"","",0.00,
"Total CCMPP Blow Moulding Machine 2",,,,,,,,,0.00,49344.71,2023132.77,
"CCMPP Blow Moulding Machine 1",,,,,,,,,,,2072477.48,
"Accumulated Depreciation",,,,,,,,,,,-2072477.82,
,"General Journal","02-01-2025","26396",,"CMPP Blow Moulding Machine 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",49344.71,-2121822.53,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,49344.71,-2121822.53,
"Cost",,,,,,,,,,,4144955.30,
"Total Cost",,,,,,,,,"","",4144955.30,
"CCMPP Blow Moulding Machine 1 - Other",,,,,,,,,,,0.00,
"Total CCMPP Blow Moulding Machine 1 - Other",,,,,,,,,"","",0.00,
"Total CCMPP Blow Moulding Machine 1",,,,,,,,,0.00,49344.71,2023132.77,
"Air cooled chiller",,,,,,,,,,,160499.86,
"Accumulated  Depreciation",,,,,,,,,,,-374500.14,
"Total Accumulated  Depreciation",,,,,,,,,"","",-374500.14,
"Cost",,,,,,,,,,,535000.00,
"Total Cost",,,,,,,,,"","",535000.00,
"Air cooled chiller - Other",,,,,,,,,,,0.00,
"Total Air cooled chiller - Other",,,,,,,,,"","",0.00,
"Total Air cooled chiller",,,,,,,,,"","",160499.86,
"Plastic Resin Mixer",,,,,,,,,,,0.20,
"Accumulated  Depreciation",,,,,,,,,,,-94999.80,
"Total Accumulated  Depreciation",,,,,,,,,"","",-94999.80,
"Cost",,,,,,,,,,,95000.00,
"Total Cost",,,,,,,,,"","",95000.00,
"Plastic Resin Mixer - Other",,,,,,,,,,,0.00,
"Total Plastic Resin Mixer - Other",,,,,,,,,"","",0.00,
"Total Plastic Resin Mixer",,,,,,,,,"","",0.20,
"Hot ProcessWater Storage Tank1",,,,,,,,,,,1110.11,
"Accumulated Depreciation",,,,,,,,,,,-3329.55,
,"General Journal","02-01-2025","26419",,"Hot ProcessWater Storage Tank1  Depreciation","Accumulated Depreciation",,"Depreciation Expense","",73.99,-3403.54,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,73.99,-3403.54,
"Cost",,,,,,,,,,,4439.66,
"Total Cost",,,,,,,,,"","",4439.66,
"Hot ProcessWater Storage Tank1 - Other",,,,,,,,,,,0.00,
"Total Hot ProcessWater Storage Tank1 - Other",,,,,,,,,"","",0.00,
"Total Hot ProcessWater Storage Tank1",,,,,,,,,0.00,73.99,1036.12,
"Eyewash Station 1",,,,,,,,,,,34381.04,
"Accumulated Depreciation",,,,,,,,,,,-41618.96,
,"General Journal","12-01-2025","26580",,"Eyewash Station 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",904.76,-42523.72,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,904.76,-42523.72,
"Cost",,,,,,,,,,,76000.00,
"Total Cost",,,,,,,,,"","",76000.00,
"Eyewash Station 1 - Other",,,,,,,,,,,0.00,
"Total Eyewash Station 1 - Other",,,,,,,,,"","",0.00,
"Total Eyewash Station 1",,,,,,,,,0.00,904.76,33476.28,
"Solar Water Heater 300L",,,,,,,,,,,43750.00,
"Accumulated Depreciation",,,,,,,,,,,-143750.00,
,"General Journal","22-01-2025","26733",,"Solar Water Heater 300L Depreciation","Accumulated Depreciation",,"Depreciation Expense","",3125.00,-146875.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,3125.00,-146875.00,
"Cost",,,,,,,,,,,187500.00,
"Total Cost",,,,,,,,,"","",187500.00,
"Solar Water Heater 300L - Other",,,,,,,,,,,0.00,
"Total Solar Water Heater 300L - Other",,,,,,,,,"","",0.00,
"Total Solar Water Heater 300L",,,,,,,,,0.00,3125.00,40625.00,
"Process Water Filtration System",,,,,,,,,,,60714.50,
"Accumulated Depreciation",,,,,,,,,,,-89285.50,
"Total Accumulated Depreciation",,,,,,,,,"","",-89285.50,
"Cost",,,,,,,,,,,150000.00,
"Total Cost",,,,,,,,,"","",150000.00,
"Process Water Filtration System - Other",,,,,,,,,,,0.00,
"Total Process Water Filtration System - Other",,,,,,,,,"","",0.00,
"Total Process Water Filtration System",,,,,,,,,"","",60714.50,
"Process Water Storage Tank",,,,,,,,,,,-46867.02,
"Accumulated Depreciation",,,,,,,,,,,-54323.16,
,"General Journal","13-01-2025","26588",,"Process Water Storage Tank Depreciation","Accumulated Depreciation",,"Depreciation Expense","",1065.16,-55388.32,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,1065.16,-55388.32,
"Cost",,,,,,,,,,,7456.14,
"Total Cost",,,,,,,,,"","",7456.14,
"Process Water Storage Tank - Other",,,,,,,,,,,0.00,
"Total Process Water Storage Tank - Other",,,,,,,,,"","",0.00,
"Total Process Water Storage Tank",,,,,,,,,0.00,1065.16,-47932.18,
"Liquid Mixer 500Lt",,,,,,,,,,,197523.76,
"Accumulated Depreciation",,,,,,,,,,,-320976.24,
"Total Accumulated Depreciation",,,,,,,,,"","",-320976.24,
"Cost",,,,,,,,,,,518500.00,
"Total Cost",,,,,,,,,"","",518500.00,
"Liquid Mixer 500Lt - Other",,,,,,,,,,,0.00,
"Total Liquid Mixer 500Lt - Other",,,,,,,,,"","",0.00,
"Total Liquid Mixer 500Lt",,,,,,,,,"","",197523.76,
"Recirculation Pump",,,,,,,,,,,2349.31,
"Accumulated  Depreciation",,,,,,,,,,,-3630.69,
,"General Journal","17-01-2025","26675",,"Recirculation Pump Depreciation","Accumulated  Depreciation",,"Depreciation Expense","",71.19,-3701.88,"Fixed Asset"
"Total Accumulated  Depreciation",,,,,,,,,0.00,71.19,-3701.88,
"Cost",,,,,,,,,,,5980.00,
"Total Cost",,,,,,,,,"","",5980.00,
"Recirculation Pump - Other",,,,,,,,,,,0.00,
"Total Recirculation Pump - Other",,,,,,,,,"","",0.00,
"Total Recirculation Pump",,,,,,,,,0.00,71.19,2278.12,
"Liquid Plant",,,,,,,,,,,495982.24,
"Accumulated Deprecation",,,,,,,,,,,-766517.76,
,"General Journal","24-01-2025","26758",,"Liquid Plant Depreciation","Accumulated Deprecation",,"Depreciation Expense","",15029.76,-781547.52,"Fixed Asset"
"Total Accumulated Deprecation",,,,,,,,,0.00,15029.76,-781547.52,
"Cost",,,,,,,,,,,1262500.00,
"Total Cost",,,,,,,,,"","",1262500.00,
"Liquid Plant - Other",,,,,,,,,,,0.00,
"Total Liquid Plant - Other",,,,,,,,,"","",0.00,
"Total Liquid Plant",,,,,,,,,0.00,15029.76,480952.48,
"2T Mixer Installation",,,,,,,,,,,534837.10,
"Accumulated Depreciation",,,,,,,,,,,-1961067.90,
,"General Journal","17-01-2025","26666",,"2T Mixer Installation Depreciation","Accumulated Depreciation",,"Depreciation Expense","",29713.15,-1990781.05,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,29713.15,-1990781.05,
"Cost",,,,,,,,,,,2495905.00,
"Total Cost",,,,,,,,,"","",2495905.00,
"2T Mixer Installation - Other",,,,,,,,,,,0.00,
"Total 2T Mixer Installation - Other",,,,,,,,,"","",0.00,
"Total 2T Mixer Installation",,,,,,,,,0.00,29713.15,505123.95,
"Canister Platform",,,,,,,,,,,1540413.14,
"Accumulated Depreciation",,,,,,,,,,,-3436306.86,
"Total Accumulated Depreciation",,,,,,,,,"","",-3436306.86,
"Cost",,,,,,,,,,,4976720.00,
"Total Cost",,,,,,,,,"","",4976720.00,
"Canister Platform - Other",,,,,,,,,,,0.00,
"Total Canister Platform - Other",,,,,,,,,"","",0.00,
"Total Canister Platform",,,,,,,,,"","",1540413.14,
"20Kg Forklift Gas Cylinder 2",,,,,,,,,,,19242.87,
"Accumulated Depreciation",,,,,,,,,,,-45412.30,
,"General Journal","15-01-2025","26608",,"20Kg Forklift Gas Cylinder 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",769.70,-46182.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,769.70,-46182.00,
"Cost",,,,,,,,,,,64655.17,
"Total Cost",,,,,,,,,"","",64655.17,
"20Kg Forklift Gas Cylinder 2 - Other",,,,,,,,,,,0.00,
"Total 20Kg Forklift Gas Cylinder 2 - Other",,,,,,,,,"","",0.00,
"Total 20Kg Forklift Gas Cylinder 2",,,,,,,,,0.00,769.70,18473.17,
"2T Mixer",,,,,,,,,,,227381.66,
"Accumulated Depreciation",,,,,,,,,,,-833843.34,
,"General Journal","17-01-2025","26665",,"2T Mixer Depreciation","Accumulated Depreciation",,"Depreciation Expense","",12633.99,-846477.33,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,12633.99,-846477.33,
"Cost",,,,,,,,,,,1061225.00,
"Total Cost",,,,,,,,,"","",1061225.00,
"2T Mixer - Other",,,,,,,,,,,0.00,
"Total 2T Mixer - Other",,,,,,,,,"","",0.00,
"Total 2T Mixer",,,,,,,,,0.00,12633.99,214747.67,
"2Ton Electric Hoist 1",,,,,,,,,,,37083.58,
"Accumulated Depreciation",,,,,,,,,,,-274416.42,
,"General Journal","15-01-2025","26609",,"2Ton Electric Hoist 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",3708.33,-278124.75,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,3708.33,-278124.75,
"Cost",,,,,,,,,,,311500.00,
"Total Cost",,,,,,,,,"","",311500.00,
"2Ton Electric Hoist 1 - Other",,,,,,,,,,,0.00,
"Total 2Ton Electric Hoist 1 - Other",,,,,,,,,"","",0.00,
"Total 2Ton Electric Hoist 1",,,,,,,,,0.00,3708.33,33375.25,
"3T Gas Forklift 1",,,,,,,,,,,711904.82,
"Accumulated Depreciation",,,,,,,,,,,-1888095.18,
,"General Journal","19-01-2025","26681",,"3T Gas Forklift 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",30952.38,-1919047.56,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,30952.38,-1919047.56,
"Cost",,,,,,,,,,,2600000.00,
"Total Cost",,,,,,,,,"","",2600000.00,
"3T Gas Forklift 1 - Other",,,,,,,,,,,0.00,
"Total 3T Gas Forklift 1 - Other",,,,,,,,,"","",0.00,
"Total 3T Gas Forklift 1",,,,,,,,,0.00,30952.38,680952.44,
"Bench top Weighing Scale 1",,,,,,,,,,,0.24,
"Accumulated Depreciation",,,,,,,,,,,-29999.76,
"Total Accumulated Depreciation",,,,,,,,,"","",-29999.76,
"Cost",,,,,,,,,,,30000.00,
"Total Cost",,,,,,,,,"","",30000.00,
"Bench top Weighing Scale 1 - Other",,,,,,,,,,,0.00,
"Total Bench top Weighing Scale 1 - Other",,,,,,,,,"","",0.00,
"Total Bench top Weighing Scale 1",,,,,,,,,"","",0.24,
"Bench top Weighing Scale 2",,,,,,,,,,,0.24,
"Accumulated Depreciation",,,,,,,,,,,-29999.76,
"Total Accumulated Depreciation",,,,,,,,,"","",-29999.76,
"Cost",,,,,,,,,,,30000.00,
"Total Cost",,,,,,,,,"","",30000.00,
"Bench top Weighing Scale 2 - Other",,,,,,,,,,,0.00,
"Total Bench top Weighing Scale 2 - Other",,,,,,,,,"","",0.00,
"Total Bench top Weighing Scale 2",,,,,,,,,"","",0.24,
"Big bag trolley 1",,,,,,,,,,,-0.36,
"Accumulated Depreciation",,,,,,,,,,,-28920.36,
"Total Accumulated Depreciation",,,,,,,,,"","",-28920.36,
"Cost",,,,,,,,,,,28920.00,
"Total Cost",,,,,,,,,"","",28920.00,
"Big bag trolley 1 - Other",,,,,,,,,,,0.00,
"Total Big bag trolley 1 - Other",,,,,,,,,"","",0.00,
"Total Big bag trolley 1",,,,,,,,,"","",-0.36,
"Boato Commissioning",,,,,,,,,,,17797.68,
"Accumulated Depreciation",,,,,,,,,,,-56952.32,
,"General Journal","20-01-2025","26682","Unilever Kenya Ltd:Sunlight Washing Pwd","Boato Commisioning Depreciation","Accumulated Depreciation",,"Depreciation Expense","",889.88,-57842.20,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,889.88,-57842.20,
"Cost",,,,,,,,,,,74750.00,
"Total Cost",,,,,,,,,"","",74750.00,
"Boato Commissioning - Other",,,,,,,,,,,0.00,
"Total Boato Commissioning - Other",,,,,,,,,"","",0.00,
"Total Boato Commissioning",,,,,,,,,0.00,889.88,16907.80,
"Boato Installations",,,,,,,,,,,1172058.92,
"Accumulated Depreciation",,,,,,,,,,,-4297549.08,
"Total Accumulated Depreciation",,,,,,,,,"","",-4297549.08,
"Cost",,,,,,,,,,,5469608.00,
"Total Cost",,,,,,,,,"","",5469608.00,
"Boato Installations - Other",,,,,,,,,,,0.00,
"Total Boato Installations - Other",,,,,,,,,"","",0.00,
"Total Boato Installations",,,,,,,,,"","",1172058.92,
"Chain block 1",,,,,,,,,,,-325.00,
"Accumulated depreciation",,,,,,,,,,,-27625.00,
"Total Accumulated depreciation",,,,,,,,,"","",-27625.00,
"Cost",,,,,,,,,,,27300.00,
"Total Cost",,,,,,,,,"","",27300.00,
"Chain block 1 - Other",,,,,,,,,,,0.00,
"Total Chain block 1 - Other",,,,,,,,,"","",0.00,
"Total Chain block 1",,,,,,,,,"","",-325.00,
"Chain block 2",,,,,,,,,,,1994.01,
"Accumulated depreciation",,,,,,,,,,,-31505.99,
,"General Journal","07-01-2025","26513",,"Chain block 2 depreciation","Accumulated depreciation",,"Depreciation Expense","",398.81,-31904.80,"Fixed Asset"
"Total Accumulated depreciation",,,,,,,,,0.00,398.81,-31904.80,
"Cost",,,,,,,,,,,33500.00,
"Total Cost",,,,,,,,,"","",33500.00,
"Chain block 2 - Other",,,,,,,,,,,0.00,
"Total Chain block 2 - Other",,,,,,,,,"","",0.00,
"Total Chain block 2",,,,,,,,,0.00,398.81,1595.20,
"Chain block 3",,,,,,,,,,,3190.44,
"Accumulated depreciation",,,,,,,,,,,-30309.56,
,"General Journal","07-01-2025","26514",,"Chain block 3 depreciation","Accumulated depreciation",,"Depreciation Expense","",398.81,-30708.37,"Fixed Asset"
"Total Accumulated depreciation",,,,,,,,,0.00,398.81,-30708.37,
"Cost",,,,,,,,,,,33500.00,
"Total Cost",,,,,,,,,"","",33500.00,
"Chain block 3 - Other",,,,,,,,,,,0.00,
"Total Chain block 3 - Other",,,,,,,,,"","",0.00,
"Total Chain block 3",,,,,,,,,0.00,398.81,2791.63,
"Chain block 4",,,,,,,,,,,4452.68,
"Accumulated Depreciation",,,,,,,,,,,-13893.88,
,"General Journal","11-01-2025","26572","Unilever Kenya Ltd:Sunlight Washing Pwd","Chain block trolley 4 depreciation","Accumulated Depreciation",,"Depreciation Expense","",85.00,-13978.88,"Fixed Asset"
,"General Journal","23-01-2025","26739",,"Chain block 4 depreciation","Accumulated Depreciation",,"Depreciation Expense","",133.42,-14112.30,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,218.42,-14112.30,
"Cost",,,,,,,,,,,18346.56,
"Total Cost",,,,,,,,,"","",18346.56,
"Chain block 4 - Other",,,,,,,,,,,0.00,
"Total Chain block 4 - Other",,,,,,,,,"","",0.00,
"Total Chain block 4",,,,,,,,,0.00,218.42,4234.26,
"Colour Pressure tank",,,,,,,,,,,1857.36,
"Accumulated Depreciation",,,,,,,,,,,-17642.64,
"Total Accumulated Depreciation",,,,,,,,,"","",-17642.64,
"Cost",,,,,,,,,,,19500.00,
"Total Cost",,,,,,,,,"","",19500.00,
"Colour Pressure tank - Other",,,,,,,,,,,0.00,
"Total Colour Pressure tank - Other",,,,,,,,,"","",0.00,
"Total Colour Pressure tank",,,,,,,,,"","",1857.36,
"Compressor 1",,,,,,,,,,,337500.00,
"Accumulated depreciation",,,,,,,,,,,-292500.00,
,"General Journal","11-01-2025","26578",,"Compressor 1 depreciation","Accumulated depreciation",,"Depreciation Expense","",3750.00,-296250.00,"Fixed Asset"
"Total Accumulated depreciation",,,,,,,,,0.00,3750.00,-296250.00,
"Cost",,,,,,,,,,,630000.00,
"Total Cost",,,,,,,,,"","",630000.00,
"Compressor 1 - Other",,,,,,,,,,,0.00,
"Total Compressor 1 - Other",,,,,,,,,"","",0.00,
"Total Compressor 1",,,,,,,,,0.00,3750.00,333750.00,
"Compressor Room",,,,,,,,,,,11654.80,
"Accumulated depreciation",,,,,,,,,,,-10595.20,
,"General Journal","18-01-2025","26688",,"Compressor room depreciation","Accumulated depreciation",,"Depreciation Expense","",132.44,-10727.64,"Fixed Asset"
"Total Accumulated depreciation",,,,,,,,,0.00,132.44,-10727.64,
"Cost",,,,,,,,,,,22250.00,
"Total Cost",,,,,,,,,"","",22250.00,
"Compressor Room - Other",,,,,,,,,,,0.00,
"Total Compressor Room - Other",,,,,,,,,"","",0.00,
"Total Compressor Room",,,,,,,,,0.00,132.44,11522.36,
"Drum Pump 1",,,,,,,,,,,3066.23,
"Accumulated Depreciation",,,,,,,,,,,-7278.60,
,"General Journal","02-01-2025","26400",,"Drum Pump 1 Depreiation","Accumulated Depreciation",,"Depreciation Expense","",123.03,-7401.63,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,123.03,-7401.63,
"Cost",,,,,,,,,,,10344.83,
"Total Cost",,,,,,,,,"","",10344.83,
"Drum Pump 1 - Other",,,,,,,,,,,0.00,
"Total Drum Pump 1 - Other",,,,,,,,,"","",0.00,
"Total Drum Pump 1",,,,,,,,,0.00,123.03,2943.20,
"Dust Extractor 1",,,,,,,,,,,38839.17,
"Accumulated Depreciation",,,,,,,,,,,-36160.83,
,"General Journal","23-01-2025","26741",,"Dust Extractor 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",446.43,-36607.26,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,446.43,-36607.26,
"Cost",,,,,,,,,,,75000.00,
"Total Cost",,,,,,,,,"","",75000.00,
"Dust Extractor 1 - Other",,,,,,,,,,,0.00,
"Total Dust Extractor 1 - Other",,,,,,,,,"","",0.00,
"Total Dust Extractor 1",,,,,,,,,0.00,446.43,38392.74,
"Dust Extractor 2",,,,,,,,,,,38839.17,
"Accumulated Depreciation",,,,,,,,,,,-36160.83,
,"General Journal","23-01-2025","26742",,"Dust Extractor 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",446.43,-36607.26,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,446.43,-36607.26,
"Cost",,,,,,,,,,,75000.00,
"Total Cost",,,,,,,,,"","",75000.00,
"Dust Extractor 2 - Other",,,,,,,,,,,0.00,
"Total Dust Extractor 2 - Other",,,,,,,,,"","",0.00,
"Total Dust Extractor 2",,,,,,,,,0.00,446.43,38392.74,
"Electric Hoist 1",,,,,,,,,,,265833.42,
"Accumulated depreciation",,,,,,,,,,,-314166.58,
,"General Journal","18-01-2025","26690",,"Electric Hoist 1 depreciation","Accumulated depreciation",,"Depreciation Expense","",3452.38,-317618.96,"Fixed Asset"
"Total Accumulated depreciation",,,,,,,,,0.00,3452.38,-317618.96,
"Cost",,,,,,,,,,,580000.00,
"Total Cost",,,,,,,,,"","",580000.00,
"Electric Hoist 1 - Other",,,,,,,,,,,0.00,
"Total Electric Hoist 1 - Other",,,,,,,,,"","",0.00,
"Total Electric Hoist 1",,,,,,,,,0.00,3452.38,262381.04,
"Empty IBC Tank 1",,,,,,,,,,,458.09,
"Accumulated Depreciation",,,,,,,,,,,-3041.91,
,"General Journal","21-01-2025","26719",,"IBC Tank 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",41.67,-3083.58,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,41.67,-3083.58,
"Cost",,,,,,,,,,,3500.00,
"Total Cost",,,,,,,,,"","",3500.00,
"Empty IBC Tank 1 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 1 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 1",,,,,,,,,0.00,41.67,416.42,
"Empty IBC Tank 10",,,,,,,,,,,83.06,
"Accumulated Depreciation",,,,,,,,,,,-3416.94,
,"General Journal","04-01-2025","26477",,"Empty IBC Tank 10 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",41.67,-3458.61,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,41.67,-3458.61,
"Cost",,,,,,,,,,,3500.00,
"Total Cost",,,,,,,,,"","",3500.00,
"Empty IBC Tank 10 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 10 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 10",,,,,,,,,0.00,41.67,41.39,
"Empty IBC Tank 2",,,,,,,,,,,-1280.04,
"Accumulated Depreciation",,,,,,,,,,,-4780.04,
,"General Journal","21-01-2025","26720",,"Empty IBC Tank 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",65.48,-4845.52,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,65.48,-4845.52,
"Cost",,,,,,,,,,,3500.00,
"Total Cost",,,,,,,,,"","",3500.00,
"Empty IBC Tank 2 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 2 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 2",,,,,,,,,0.00,65.48,-1345.52,
"Empty IBC Tank 3",,,,,,,,,,,130.64,
"Accumulated Depreciation",,,,,,,,,,,-5369.36,
,"General Journal","04-01-2025","26478",,"Empty IBC Tank 3 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",65.48,-5434.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,65.48,-5434.84,
"Cost",,,,,,,,,,,5500.00,
"Total Cost",,,,,,,,,"","",5500.00,
"Empty IBC Tank 3 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 3 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 3",,,,,,,,,0.00,65.48,65.16,
"Empty IBC Tank 4",,,,,,,,,,,130.64,
"Accumulated Depreciation",,,,,,,,,,,-5369.36,
,"General Journal","04-01-2025","26479",,"Empty IBC Tank 4 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",65.48,-5434.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,65.48,-5434.84,
"Cost",,,,,,,,,,,5500.00,
"Total Cost",,,,,,,,,"","",5500.00,
"Empty IBC Tank 4 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 4 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 4",,,,,,,,,0.00,65.48,65.16,
"Empty IBC Tank 5",,,,,,,,,,,130.64,
"Accumulated Depreciation",,,,,,,,,,,-5369.36,
,"General Journal","04-01-2025","26480",,"Empty IBC Tank 5 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",65.48,-5434.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,65.48,-5434.84,
"Cost",,,,,,,,,,,5500.00,
"Total Cost",,,,,,,,,"","",5500.00,
"Empty IBC Tank 5 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 5 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 5",,,,,,,,,0.00,65.48,65.16,
"Empty IBC Tank 6",,,,,,,,,,,130.64,
"Accumulated Depreciation",,,,,,,,,,,-5369.36,
,"General Journal","04-01-2025","26481",,"Empty IBC Tank 6 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",65.48,-5434.84,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,65.48,-5434.84,
"Cost",,,,,,,,,,,5500.00,
"Total Cost",,,,,,,,,"","",5500.00,
"Empty IBC Tank 6 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 6 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 6",,,,,,,,,0.00,65.48,65.16,
"Empty IBC Tank 7",,,,,,,,,,,83.06,
"Accumulated Depreciation",,,,,,,,,,,-3416.94,
,"General Journal","04-01-2025","26482",,"Empty IBC Tank 7 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",41.67,-3458.61,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,41.67,-3458.61,
"Cost",,,,,,,,,,,3500.00,
"Total Cost",,,,,,,,,"","",3500.00,
"Empty IBC Tank 7 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 7 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 7",,,,,,,,,0.00,41.67,41.39,
"Empty IBC Tank 8",,,,,,,,,,,83.06,
"Accumulated Depreiation",,,,,,,,,,,-3416.94,
,"General Journal","04-01-2025","26483",,"Empty IBC Tank 8 Depreciation","Accumulated Depreiation",,"Depreciation Expense","",41.67,-3458.61,"Fixed Asset"
"Total Accumulated Depreiation",,,,,,,,,0.00,41.67,-3458.61,
"Cost",,,,,,,,,,,3500.00,
"Total Cost",,,,,,,,,"","",3500.00,
"Empty IBC Tank 8 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 8 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 8",,,,,,,,,0.00,41.67,41.39,
"Empty IBC Tank 9",,,,,,,,,,,83.06,
"Accumulated Depreciation",,,,,,,,,,,-3416.94,
,"General Journal","04-01-2025","26484",,"Empty IBC Tank 9 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",41.67,-3458.61,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,41.67,-3458.61,
"Cost",,,,,,,,,,,3500.00,
"Total Cost",,,,,,,,,"","",3500.00,
"Empty IBC Tank 9 - Other",,,,,,,,,,,0.00,
"Total Empty IBC Tank 9 - Other",,,,,,,,,"","",0.00,
"Total Empty IBC Tank 9",,,,,,,,,0.00,41.67,41.39,
"Extractor Fan 4",,,,,,,,,,,14523.84,
"Accumulated Depreciation",,,,,,,,,,,-46476.16,
,"General Journal","05-01-2025","26495",,"Extractor Fan 4 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",726.19,-47202.35,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,726.19,-47202.35,
"Cost",,,,,,,,,,,61000.00,
"Total Cost",,,,,,,,,"","",61000.00,
"Extractor Fan 4 - Other",,,,,,,,,,,0.00,
"Total Extractor Fan 4 - Other",,,,,,,,,"","",0.00,
"Total Extractor Fan 4",,,,,,,,,0.00,726.19,13797.65,
"Extractor Fan down",,,,,,,,,,,12910.16,
"Accumulated Depreciation",,,,,,,,,,,-12309.84,
"Total Accumulated Depreciation",,,,,,,,,"","",-12309.84,
